name,description,availability,price,discount_price,sku
Unitek Y-9313 USB3.0 Multi Aluminium Card Reader,USB Type:Type A|USB Version:USB 3.0|Card Reader:Yes,Out of Stock,€17.00,,unitek-y-9313-usb30-multi-aluminium-card-reader
Baseus OrangeDot Wireless Laser Presenter Grey,"A great assistant for presentations
    2.4Ghz wireless presenter
    Features: page up/page down and play slides
    Ergonomic design, safe and comfortable to use
    Comes with a USB receiver, plug and play, no software or driver is...",Out of Stock,€17.00,,baseus-orangedot-wireless-laser-presenter-grey-6953156224742
Intel Wi-Fi 6 AX201 internal adapter m.2,"Interface: M.2 E Key 2230 CNVI 2
Wi-Fi 6 series
Speed - up to 2402 Mbps
Bluetotth 5.2
Adapter only for Intel CPU
Antennas not included in pack",Out of Stock,€17.00,,intel-wi-fi-6-ax201-internal-adapter-m2
USB flash KINGSTON  Datatraveler Exodia 128GB,"Capacity: 128 GB
USB 3.2
Dimensiosn:6x2x1",Out of Stock,€17.00,,usb-flash-kingston-datatraveler-exodia-128gb
PNY CS900 Sata3 SSD 120GB,Type:SSD|Form Factor:2.5|Capacity:120GB|Use:Internal,Out of Stock,€17.00,,pny-cs900-sata3-ssd-120gb
Genius Keyboard-Mouse Set Wired KM-170 English,"Wired Keyboard and Mouse
DPI 1000
104 Soft and Silent Keypads
USB ConnectionRU keyout",Out of Stock,€17.00,,genius-keyboard-mouse-set-wired-km-170-english
HP Focus Topload 15.6 Laptop Case T9B50AA,"Pockets with purpose include a dedicated internal pocket with a strap designed for laptops up to 39.6 cm (15.6in), along with multiple organizer pockets for pens, cell phone, and accessories
Detachable shoulder strap
Robust showerproof exterior...",Out of Stock,€17.00,,hp-focus-topload-156-laptop-case-t9b50aa
"Backpack Baseus Basics Series 16"" Computer Dark Grey","Laptop size: 16 inch
Material: Nylon
Color: Dark grey,
Buff Capacity: 10L
Size: 416 x 300 x 110 mm
Weight: 180 g",Out of Stock,€17.00,,backpack-baseus-basics-series-16-computer-dark-grey
4 Port USB 3.0 HUB Adapter,"Super High Speed Data Sync 4 Port USB 3.0 HUB Adapter Converter For PC Laptop CA, supporting a transfer speed up to 4.8Gbps
BT1270
Ultra slim structure design
Output 4 standard USB 3.0 port",Out of Stock,€17.00,,4-port-usb-30-hub-adapter
Unitek C1049GB Premium Certified HDMI2.0 Cable 3.0m,Type:HDMI|Length:3.0m|Version:2.0,Out of Stock,€17.09,,unitek-c1049gb-premium-certified-hdmi20-cable-30m
Techlink iWiresPro Subwoofer RCA 3.0m 711053,Type:Subwoofer RCA|Length:3.0m,Out of Stock,€17.09,,techlink-iwirespro-subwoofer-rca-30m-711053
Techlink iWiresPRO 2RCA to 2RCA Cable 3.0m 711033,Type:2RCA|Length:3.0m,Out of Stock,€17.09,,techlink-iwirespro-2rca-to-2rca-cable-30m-711033
Machenike B220 15/6 Laptop Backpack,"Type:BackPack|Size:Up to 15.6""|Water Protection:Splash Proof|Color:Black",Out of Stock,€17.09,,machenike-b220-15-6-laptop-backpack
Techlink iWires HDMI to HDMI 5.0m 710205,Type:HDMI|Length:5.0m|Version:2.0,Out of Stock,€17.09,,techlink-iwires-hdmi-to-hdmi-50m-710205
Unitek Y-C506G VGA to VGA Cable 10m,Cable Type:VGA|Ferrite:Yes|Length:10.0m,Out of Stock,€17.10,,unitek-y-c506g-vga-to-vga-cable-10m
AV:Link USB-C to HDMI Digital Adaptor 122.431UK,Input:USB Type-C|HDMI Output:Yes,Out of Stock,€17.10,,av-link-usb-c-to-hdmi-digital-adaptor-122431uk
Unitek Y-C814ABL Patch Cable CAT6 Blue 15.0m,Type:Cat6|Conductor:Copper|Length:15.0m|Colour:Blue,Out of Stock,€17.10,,unitek-y-c814abl-patch-cable-cat6-blue-150m
Cudy AC1300 Wi-Fi High Gain USB 3.0 Adapter,"Dual band Wi-Fi 5
867 Mbps + 400 Mbps WiFi 
Works on Win7+ macOS 10.x / Linux",Out of Stock,€17.50,,cudy-ac1300-wi-fi-high-gain-usb-30-adapter
Case FAN Be Quiet Shadow wings 2 140 mm white,"FAN Size: 140 mm
Fan Speed max 1000 RPM
Connectivity: 3-Pin 
Warranty: 1 Year",Out of Stock,€17.50,,case-fan-be-quiet-shadow-wings-2-140-mm-white
Techlink iWiresPRO 8K HDMI Certified Cable 1.8m 711818,Type:HDMI|Length:1.8m|Version:2.1|Braided:Yes,Out of Stock,€17.99,,techlink-iwirespro-8k-hdmi-certified-cable-18m-711818
Verbatim USB Drive 3.2 Retractable USB-C 64GB Black,Capacity:64GB|Speed:USB 3.2,Out of Stock,€17.99,,verbatim-usb-drive-32-retractable-usb-c-64gb-black
Techlink iWiresPRO Optical Cable 3.0m 711213,Type:Optical|Length:3.0m,Out of Stock,€17.99,,techlink-iwirespro-optical-cable-30m-711213
Techlink iWiresPRO HDMI to HDMI 3.0m 711203,Type:HDMI|Length:3.0m,Out of Stock,€17.99,,techlink-iwirespro-hdmi-to-hdmi-30m-711203
Casview CT-21 8'' Multifunctional Wire Stripper,No description available,Out of Stock,€18.00,,casview-ct-21-8-multifunctional-wire-stripper
Unitek Y-OT19TP CAT6 RJ45 Connector 100pcs,"8P8C Connector
CAT6
UTP
100pcs Box",Out of Stock,€18.00,,unitek-y-ot19tp-cat6-rj45-connector-100pcs
HP 200 Wireless Mouse 2HU84AA,"Connection: Bluetooth
Optical Mouse
Adjustable DPI:1000
Battery AAA",Out of Stock,€18.00,,hp-200-wireless-mouse-2hu84aa
Logitech Keyboard K120 GR 920-002490,"Wired keyboard
Interface  USB
Water proof keyboard
Layout US GR",Out of Stock,€18.00,,logitech-keyboard-k120-gr-920-002490
Keyboard Combo Philips SPT6207B,"USB Wired Keyboard and Optical Mouse
110 Keys
1200 DPI
Slim Profile Design",Out of Stock,€18.00,,keyboard-combo-philips-spt6207b-196786788031
Trust Ziva Gaming Rainbow LED Keyboard GR Layout,"Full-size layout keyboard with LED-illumination
Multicolour LED lighting with solid and breathing effect
Sturdy design with spill-resistant construction
12 direct access multimedia keys for quick control
Special gaming mode to disable the Windows...",Out of Stock,€18.00,,trust-ziva-gaming-rainbow-led-keyboard-gr-layout-8713439232899
Natec SQUID Wireless Keyboard & Mouse Combo Black,Type:Wireless|Dpi:1600|Wireless Type:2.4GHz,Out of Stock,€18.00,,natec-squid-wireless-keyboard-mouse-combo-black
Sonoff 505RGB Smart LED Light Strip 5 Meters (works with L1),"Attention: this light strip does not contain Sonoff L1 Controller. its only a Led light extendable Strip
Quite flexible and durable to bend, shape and cut for any occasion. Install it and choose a color you like to decorate any corner in your...",Out of Stock,€18.00,,sonoff-505rgb-smart-led-light-strip-5-meters-works-with-l1
Unitek U1309A USB  Gigabit RJ45 Ethernet Adapter,"Interface:USB|Ethernet Speed:Gigabit
Ethernet Type:RJ45|Gigabit",Out of Stock,€18.00,,unitek-u1309a-usb-gigabit-rj45-ethernet-adapter
RAM Team Group 8GB SO-DIMM DDR3 1600 ted3l8g1600c11-sbk,"Capacity: 8 GB
1 module x 16GB
Type: SO-DIMM DDR3
Memory Speed: 1600 MHz",Out of Stock,€18.00,,ram-team-group-8gb-so-dimm-ddr3-1600-ted3l8g1600c11-sbk-765441642706
Alcatroz X-Craft XC3000 Gaming Keyboard & Mouse Combo,Type:Wired|Dpi:1200|Light Effect:Backlight|Light FX:Yes,Out of Stock,€18.00,,alcatroz-x-craft-xc3000-gaming-keyboard-mouse-combo-8886411961992
Genius Scorpion M6 series gaming mouse,"Optical mouse 5000 dpi
USB connection
With 6 buttons and scroll whee
Warranty 6 month",Out of Stock,€18.00,,genius-scorpion-m6-series-gaming-mouse
Unitek H1108A USB3.1 Hub 3port USB3.1 & Card Reader,"3 USB-A ports for easy expansion. With USB3.1 Gen1 specification, the data transfer rate up to 5Gbps. Backward compatible with USB2.0/1.1
	With the memory card reader, supporting either 24mm size or 11mm size memory card with SDHC / SDXC...",Out of Stock,€18.04,,unitek-h1108a-usb31-hub-3port-usb31-card-reader
Natec WALLAROO2 15.6'' Laptop Bag with Wireless Mouse Black,"Type:Shoulder Bag|Size:Up to 15.6""|Color:Black",Out of Stock,€18.04,,natec-wallaroo2-156-laptop-bag-with-wireless-mouse-black
Baseus IT WiFi Adapter 650Mbps Build In Antenna FastJoy,Interface:USB-A|Wi-Fi Speed:650Mbps,Out of Stock,€18.04,,baseus-it-wifi-adapter-650mbps-build-in-antenna-fastjoy
Unitek V1411A Type-C to DisplayPort 1.2 Aluminium Converter,Input:USB Type-C|Displayport Output:Yes,Out of Stock,€18.04,,unitek-v1411a-type-c-to-displayport-12-aluminium-converter
"Unitek S1103D USB-C 3.1 Gen2 to SATA6G 2.5"" HDD Enclosure","Size:2.5""|Housing Material:Plastic|Transfer Speed:USB3.2 10Gbps",Out of Stock,€18.04,,unitek-s1103d-usb-c-31-gen2-to-sata6g-25-hdd-enclosure-4894160045003
Unitek Converter USB-C to HDMI V1421A,Input:USB Type-C|HDMI Output:Yes,Out of Stock,€18.04,,unitek-converter-usb-c-to-hdmi-v1421a
AV:link 3 Way Stereo Audio Switch 128.234UK,No description available,Out of Stock,€18.05,,av-link-3-way-stereo-audio-switch-128234uk
Unitek C1814GBK Flat Patch Cable CAT6 Black 15.0m,Type:Cat6|Conductor:Copper|Length:15.0m|Colour:Black,Out of Stock,€18.05,,unitek-c1814gbk-flat-patch-cable-cat6-black-150m
USB Wi-Fi adapter D-Link DWA-171/DSNA Dual Band,"Dual Band
WPS Button
Wireless N speed up to 300Mbps
Dual Band Performance – Up to 150Mbps (2.4GHz) or 433Mbps (5GHz) to deliver fast wireless speeds and less interference for maximum throughput",Out of Stock,€18.50,,usb-wi-fi-adapter-d-link-dwa-171dsna-dual-band-
SSD Team Group CX2 256 GB T253X6256G0C101,"Capacity 256 GB
Form factor 2.5 inch
Interface SATA III
3 Year Warranty",Out of Stock,€18.50,,ssd-team-group-cx2-256-gb-t253x6256g0c101-765441051928
Armaggeddon Raven III Stealth Pro Gaming Silent Mouse,Type:Wired|Dpi:8000|Silent:Yes,Out of Stock,€18.80,,armaggeddon-raven-iii-stealth-pro-gaming-silent-mouse
Techlink iWires Optical Cable 5.0m 710215,Type:Optical|Length:5.0m,Out of Stock,€18.89,,techlink-iwires-optical-cable-50m-710215
Unitek Y-C139RGY Premium HDMI 2.0 Braided Cable 3.0m,Type:HDMI|Length:3.0m|Version:2.0|Braided:Yes,Out of Stock,€18.89,,unitek-y-c139rgy-premium-hdmi-20-braided-cable-30m
Unitek C138W HDMI 2.1 8K HDR Cable 2m Black/Grey,Type:HDMI|Length:2.0m|Version:2.1,Out of Stock,€18.90,,unitek-c138w-hdmi-21-8k-hdr-cable-2m-black-grey
HP Keyboard 150 Quick Comfort 664R5AA,"Connector: USB
Cable length 1 m
Compatible OS: Windows 11, Windows 10
Dimensions: 425.9 x 146.1 x 26.8 mm",Out of Stock,€18.90,,hp-keyboard-150-quick-comfort-664r5aa
Logitech Keyboard K120 RUS (920-002522),"Wired keyboard 
Interface ; USB
Water proof keyboard
Layout US - RUS",Out of Stock,€18.90,,logitech-keyboard-k120-rus-920-002522-5099206020894
Unitek Y-248 TypeC to Stereo Audio Converter,"Convert a USB-C port to audio port
    Aluminium housing
    USB v2.0 provides stable data transmission and audio output
    Compliant with USB audio transmission revision 2.0
    Support I2S/PCM/TDM
    DAC supports up to 192KHz 16/24bit...",Out of Stock,€18.90,,unitek-y-248-typec-to-stereo-audio-converter
Unitek DPC DisplayPort 1.4 Cable 8K 60Hz 2.0m C1624BK-2M,Cable Type:Displayport|Display Port Type:DP to DP|Length:2.0m,Out of Stock,€18.99,,unitek-dpc-displayport-14-cable-8k-60hz-20m-c1624bk-2m
Cudy Router N300 Wi-Fi WR300,Type:Wireless|Ethernet Speed:Fast Ethernet|Wi-Fi Speed:N300|Ethernet Ports:4|System Memory:64MB RAM,Out of Stock,€18.99,,cudy-router-n300-wi-fi-wr300
Unitek Y-7509 PCI-E-GLAN Gigabit LAN PCI-E Card,Interface:PCI|Ethernet Speed:Gigabit|Ethernet Type:RJ45,Out of Stock,€18.99,,unitek-y-7509-pci-e-glan-gigabit-lan-pci-e-card
Unitek Converter USB-C to HDMI 2.0 Aluminium Braided V1412A,Input:USB Type-C|HDMI Output:Yes,Out of Stock,€18.99,,unitek-converter-usb-c-to-hdmi-20-aluminium-braided-v1412a
TRUST GXT 754 Gaming Mousepad L,"Flexible and comfortable fabric surface
XXL surface design (320x 279x 3 mm)
Optimized for all sensitivity settings and sensors
Non-slip rubber base",Out of Stock,€19.00,,trust-gxt-754-gaming-mousepad-l-8713439233957
Unitek Y-3365 USB3.0 M.2 SSD (NGFF/SATA) Aluminium Enclosure,Size:M.2|Housing Material:Aluminium|Transfer Speed:USB3.0 5Gbps,Out of Stock,€19.00,,unitek-y-3365-usb30-m2-ssd-ngff-sata-aluminium-enclosure-4894160026842
Orico PCI Express Card 3xUSB3.0 1xGb Lan PNU-3A1R,Interface:PCI|Ethernet Speed:Gigabit|Ethernet Type:RJ45,Out of Stock,€19.00,,orico-pci-express-card-3xusb30-1xgb-lan-pnu-3a1r-6954301166634
Orico Tools Screwdriver Set 28in1 ST2,No description available,Out of Stock,€19.00,,orico-tools-screwdriver-set-28in1-st2
TA 128 GB / 2.5 inch SSD Disk,"Capacity: 128 GB
Interface: SATA III, 6 Gbps
Speed: Read 550 MB/s, Write 410 MB/s
Form Factor​: 2.5/ 7mm
Warranty 3 Year",Out of Stock,€19.00,,ta-128-gb-25-inch-ssd-disk
HP Z3700 Wireless Mouse 7UH88AA,"It’s time your accessories matched your individuality. Meet your new wireless mouse, carefully crafted to bring its unique slim style to your work. It’s functional. It’s portable. It’s fashionable. It’s yours.

Connectivity: Wireless 2.4 GHz...",Out of Stock,€19.00,,hp-z3700-wireless-mouse-7uh88aa-193905719136
TP-LINK WIRELESS N ROUTER TL-WR840N V6.20,"300Mbps wireless transmission rate ideal for both bandwidth sensitive tasks and basic work
Easy wireless security encryption at a push of WPS button
IP based bandwidth control allows administrators to determine how much bandwidth is allotted to...",Out of Stock,€19.00,,tp-link-wireless-n-router-tl-wr840n-v620-6935364070533
Armaggeddon AK-666X Gaming Keyboard with Palm Rest,Type:Wired|Light Effect:Backlight|Light FX:Yes,Out of Stock,€19.00,,armaggeddon-ak-666x-gaming-keyboard-with-palm-rest
Baseus Matrix HDMI Switcher (2in1 or 1in2) Space Grey,Type:HDMI|Ports:2|Resolution:4K,Out of Stock,€19.00,,baseus-matrix-hdmi-switcher-2in1-or-1in2-space-grey
TA 8 GB DDR3 1600 MHZ UDIMM RAM,"Type : DDR3
Speed : 1600 Mhz (PC 12800)
Capacity 8GB
UDIMM 240 pin
Warranty 1 Year",Out of Stock,€19.00,,ta-8-gb-ddr3-1600-mhz-udimm-ram
Rechargeable Mouse Armaggeddon Foxbat 3 Kevlar13 Pro,Mouse Type:Wireless|Type:Wireless|Dpi:7000|Extras:Graphic Lighting effect|Wireless Type:2.4GHz|Rechargeable:Yes|Light FX:Yes,Out of Stock,€19.00,,rechargeable-mouse-armaggeddon-foxbat-3-kevlar13-pro
Armaggeddon Foxbat 3 Ironsight7 Pro-Gaming Wireless...,Mouse Type:Wireless|Type:Wireless|Dpi:7000|Extras:Graphic Lighting effect|Wireless Type:2.4GHz|Rechargeable:Yes|Light FX:Yes,Out of Stock,€19.00,,armaggeddon-foxbat-3-ironsight7-pro-gaming-wireless-rechargeable-mouse
Unitek C1813EBK CAT7 SSTP Pure Copper Ethernet Cable...,Type:Cat7|Conductor:Copper|Length:10.0m|Colour:Black,Out of Stock,€19.00,,unitek-c1813ebk-cat7-sstp-pure-copper-ethernet-cable-100m-black
"Laptop carry case AC8500 SHOULDER BAG 16.1""","Office Case: Equipped with 1 handle, wide opening allows easy access
Hard frame for optimum protection
Protection against minor bumps and scratches
Notebook compartment: 42 x 31 x 6.5 cm",Out of Stock,€19.00,,laptop-carry-case-ac8500-shoulder-bag-161-190940287446
Gaming mouse AOC GM200,"USB Wired mouse
Number of Buttons 6
4200 DPI, ERGONOMIC
Grip Style Palm, claw",Out of Stock,€19.00,,gaming-mouse-aoc-gm200
Icybox IB-246-C3 USB Type-C Enclosure for 2.5 HDD SSD,"Supports SATA III 6 Gbit/s
Interface to PC: USB 3.0, Type-C, up to 5 Gbit/s
USB Type-C cable in complect",Out of Stock,€19.00,,icybox-ib-246-c3-usb-type-c-enclosure-for-25-hdd-ssd
TV Wall Mount Loctek PSW652M,"Model:PSW652
Vesa:200*200
Tv size:17""-42""
Distance to the wall:56-356mm
Weight capacity:25kg
Tilt angle:-2°~15°
Swivel angle:+/-180°
Color:black",Out of Stock,€19.00,,tv-wall-mount-loctek-psw652m
"Armaggeddon RECCE15 Gaia 15"" Gaming Bag Pink","Type:BackPack|Size:Up to 14""|Color:Pink",Out of Stock,€19.00,,armaggeddon-recce15-gaia-15-gaming-keyboard-bag-pink
HP Wireless Mouse X200 6VY95AA,"connection: Reliable 2.4GHz wireless
Battery that lasts: 18 months battery life
Adjustable DPI: (800/1200/1600)
Precise optical sensor",Out of Stock,€19.00,,hp-wireless-mouse-x200-6vy95aa
Logilink Display Port to DVI Converter CV0058B,"Input: Display Port Male
Output: DVI Female
Resolutions up to 1920x1200 / 60 Hz",Out of Stock,€19.00,,logilink-display-port-to-dvi-converter-cv0058b
Mousepad Razer Gigantus V2 Large,"Dimensions: 450 x 400 mm 
thickness of 3 mm
Rubber foam with anti slip base",Out of Stock,€19.00,,mousepad-razer-gigantus-v2-large-8886419318545
SSD 256 GB 2.5 inch Sata,"Capacity: 256GB
Interface: SATA III, 6 Gbps
Speed: Read 500 MB/s, Write 410 MB/s
Warranty 2 Year",Out of Stock,€19.00,,ssd-256-gb-25-inch-sata
Gamemax PWM+RAINBOW Controller V3.0,Type:Controller,Out of Stock,€19.40,,gamemax-pwmrainbow-controller-v30
Laptop case NEOPRENE sleeve 15.6 2F1W8AA,"Laptop size 15.6-inch
This flexible and durable neoprene case
Thanks to the double-sided design, you can change the color whenever you want.
Side flap without zipper allows you to place your laptop securely and securely",Out of Stock,€19.50,,laptop-case-neoprene-sleeve-156-2f1w8aa-195161357398
Techlink iWiresPro Subwoofer RCA to 2 RCA 3.0m 711043,Type:Subwoofer RCA|Length:3.0m,Out of Stock,€19.79,,techlink-iwirespro-subwoofer-rca-to-2-rca-30m-711043
WavLink WN691AE AC600 Dual-Band Wi-Fi Adapter,Interface:USB-A|Wi-Fi Speed:600Mbps,Out of Stock,€19.80,,wavlink-wn691ae-ac600-dual-band-wi-fi-adapter
PNY Pro Elite 128GB Micro SD Card With Adapter,Capacity:128GB|Recording Quality:4K|UHS Speed Class:U3|Speed Class:10|Waterproof:Yes|Shockproof:Yes,Out of Stock,€19.90,,pny-pro-elite-128gb-micro-sd-card-with-adapter
Mousepad Lenovo LEGION Gaming XL Cloth,"Dimensions : 900mm x 300 mm
Features a high-density waterproof microfiber surface
High-density top surface made of microfiber
Non-slip bottom surface for countless hours of gaming",Out of Stock,€19.90,,mousepad-lenovo-legion-gaming-xl-cloth-193638156321
Unitek Y-6355 HDMI mini/micro to VGA Converter,Type:HDMI to VGA,Out of Stock,€19.94,,unitek-y-6355-hdmi-mini-micro-to-vga-converter
Unitek USB-A Hub USB3.0 4-Port & Power Port Y-3145,"This hub offers you the 4 USB-ports for expansion at SuperSpeed 5Gbps, plus the optional external Micro USB power supply, it can supply power to peripheral devices.


	4-Port USB expansion with USB3.0 5Gbps SuperSpeed
	Optional external Micro...",Out of Stock,€19.94,,unitek-usb-a-hub-usb30-4-port-power-port-y-3145
Corsair  8 GB DDR4 2400Hz CMK32GX4M4A2400C16R,"Capacity: 1 x 8 GB Kit
DDR4, 2400 MHz
DIMM 288 Pin, CL16",Out of Stock,€20.00,,corsair-8-gb-ddr4-2400hz-cmk32gx4m4a2400c16r
HP 150 Keyboard Combo 240J7AA,"Wired Keyboard Combo
Interface USB
Optical mouse: 800 - 1600",Out of Stock,€20.00,,hp-150-keyboard-combo-240j7aa-195122875510
Trust GXT 835 Azor Illuminated Gaming Keyboard GR,"Full-size keyboard layout
3 combined LED color modes with adjustable brightness
Anti-Ghosting: up to 8 simultaneous key pressings
Game mode switch; directly disable Windows key
Anti-slip rubber feet and 2 steps height adjustable
12 multimedia...",Out of Stock,€20.00,,trust-gxt-835-azor-illuminated-gaming-keyboard-gr-8713439239690
PCI Express Card Logilink AD0005B Adapter S-ATA to IDE...,"IDE Devices on SATA Controller
PCI-E 1x bus interface
Connector 1: S-ATA male
Connector 2: IDE 40-pin female",Out of Stock,€20.00,,pci-express-card-logilink-ad0005b-adapter-s-ata-to-ide-pata
TP-LINK 5-Port Gigabit Switch LS1005G,"5 Port Switch
10/100/1000Mbps Auto-Negotiation RJ45 port supporting Auto-MDI/MDIX
Green Ethernet technology saves power
IEEE 802.3i/802.3u/ 802.3ab/802.3x
External Power Adapter (Output: 5VDC/0.6A)",Out of Stock,€20.00,,tp-link-5-port-gigabit-switch-ls1005g
Armaggeddon Voltron Bronze 235 FX Power Supply,"Pure Power Rated: 235W
LED Light: Yes
PCI-E 6 pin: Non
Sata Connector: 4
Molex: 2
Cooling: 120 mm Fan",Out of Stock,€20.00,,armaggeddon-voltron-bronze-235-fx-power-supply
Mousepad Keychron Desk Black (DM-1) 900x400 mm,"Dimensions : 900 x 400 x 3 (mm)
Anti-Fray Stitching
Anti-Fray Stitching
Materials: Polyester and Rubber",Out of Stock,€20.00,,mousepad-keychron-desk-black-dm-1-900x400-mm--4895248843245
2 Port KVM VGA SVGA Switch USB 2.0 BOX ADAPTER,Compact design features four attached KVM (USB and VGA) cables,Out of Stock,€20.00,,2-port-kvm-vga-svga-switch-usb-20-box-adapter
Unitek Y-7301 2 Port USB3.0 PCI Express Card,"Compliant with USB 3.0 Super-Speed (5Gbps)
PCI-E 1x bus interface
Supported system : windows 10/8/7/vista/Xp",Out of Stock,€20.00,,unitek-y-7301-2-port-usb30-pci-express-card
Mouse Gamdias zeus M2,"Gaming Optical Sensor
Buttons : 8 Keys
Resolution : 1,200 / 1,600 / 2,400 / 5,200 / 8,200 / 10,800 DPI (Default 1200)
Polling Rate : 1000Hz
USB Cable Length : 1.8m",Out of Stock,€20.00,,mouse-gamdias-zeus-m2
Gaming Mouse Zeroground Sorin V2.0 RGB,"Sensor: Optical
Resolution: 800-2400 dpi
Buttons: 6
Interface: USB
Dimensions: 127.7 x75 x 43.3
Weight: 150gr
OS: Windows 2000/Vista/XP/7/8/10
Cable: 1.6m",Out of Stock,€20.00,,gaming-mouse-zeroground-sorin-v20-rgb-5201964098859
"Laptop carry case AC8505 SHOULDER BAG 16.1""","Fits most laptops with up to a 16.1"" size
protection against scratches
Laptop compartment: 38,5 x 30 x 6 cm
Compartments: 2",Out of Stock,€20.00,,laptop-carry-case-ac8505-shoulder-bag-161-190940287446
Gaming Mouse Gamdias Zeus M4 NYX E1 mousepad,"12800 DPI Optical Sensor
USB connector
6 smart keys
Double-layer Fabrics mouse pad",Out of Stock,€20.00,,gaming-mouse-gamdias-zeus-m4-nyx-e1-mousepad
Lenovo Carry Case sleeve Yoga 15 GX40X02934,"Size 15 inch
Material:  cloth-leather
Color Grey
368 x 244 x 20 mm",Out of Stock,€20.00,,lenovo-carry-case-sleeve-yoga-15-gx40x02934
HP 320K Wired Desktop Keyboard 9SR37A6,"HP KEYBOARD 320K WIRED, UK, BLACK, BULK",Out of Stock,€20.30,,hp-320k-wired-desktop-keyboard-9sr37a6
Logitech Keyboard K280e white UK (920-008319),"Wired keyboard
Spill resistant
Interface  USB
Layout UK
Cable 1.8 m",Out of Stock,€20.50,,logitech-keyboard-k280e-white-uk-920-008319-5099206071704
Imation HD16 Metal USB3.0 Stick 128GB,Capacity:128GB|Speed:USB 3.0|Metal Housing:Yes,Out of Stock,€20.50,,imation-hd16-metal-usb30-stick-128gb
Laptop case HP PRELUDE 15.6 2Z8P4AA,"Laptop size: 13, 14, 15.6 inch
100% polyester, Water resistant
Slip on the padded straps of this ultralight, ultradurable stylish pack 
Color Grey",Out of Stock,€20.50,,laptop-case-hp-prelude-156-2z8p4aa
Laptop case HP Prelude 15.6-inch Topload 1E7D7AA,"Fits most 15.6-inch diagonal laptops
With a top zip closure and a dedicated compartment
Slip on the padded straps of this ultralight, ultradurable stylish pack 
Color Grey",Out of Stock,€20.50,,laptop-case-hp-prelude-156-inch-topload-1e7d7aa
ASROCK Deskmini WiFi Kit 90-BXG2T0-A0XCR7Z,"Interface: M.2 E Key 2230
Wi-Fi 6 series
Speed - up to 2402 Mbps
Bluetotth 5.2
2 x Antenna in pack",Out of Stock,€20.50,,asrock-deskmini-wifi-kit-90-bxg2t0-a0xcr7z-4717677333688
Techlink iWiresPro Subwoofer RCA 5.0m 711055,Type:Subwoofer RCA|Length:5.0m,Out of Stock,€20.69,,techlink-iwirespro-subwoofer-rca-50m-711055
Techlink iWiresPRO 2RCA to 2RCA Cable 5.0m 711035,Type:2RCA|Length:5.0m,Out of Stock,€20.69,,techlink-iwirespro-2rca-to-2rca-cable-50m-711035
Unitek Converter USB-C to VGA Aluminium Braided V1413A,Input:USB Type-C|VGA Output:Yes,Out of Stock,€20.89,,unitek-converter-usb-c-to-vga-aluminium-braided-v1413a
Unitek V1409A Type-C to DP Cable 4K 60Hz 2m,Input:USB Type-C|Cable Type:Displayport|USB Type:Type C|Displayport Output:Yes,Out of Stock,€20.89,,unitek-v1409a-type-c-to-dp-cable-4k-60hz-2m
Baseus IT WiFi Adapter 650Mbps External Antenna FastJoy,Interface:USB-A|Wi-Fi Speed:650Mbps,Out of Stock,€20.89,,baseus-it-wifi-adapter-650mbps-external-antenna-fastjoy-6932172651039
Unitek Converter USB-C to DP1.4 Adaptor 8K60Hz Alumin V1415A,Input:USB Type-C|Displayport Output:Yes,Out of Stock,€20.89,,unitek-converter-usb-c-to-dp14-8k60hz-alumin-v1415a
Tenda SG105 5-Port Gigabit Ethernet Switch,Ethernet Speed:Gigabit|Ethernet Ports:5|Type:Unmanaged|Mounting:Desktop/Wall,Out of Stock,€20.89,,tenda-sg105-5-port-gigabit-ethernet-switch
Unitek Converter USB-A 2.0 to Serial RS232 1.5m Y-108,Input:USB Type-A|RS232 Output:Yes|USB Version:2.0,Out of Stock,€20.89,,unitek-converter-usb-a-20-to-serial-rs232-15m-y-108
Unitek Y-3470 USB3.0 to Gigabit Ethernet Converter,Interface:USB-A|Ethernet Speed:Gigabit|Ethernet Type:RJ45,Out of Stock,€20.90,,unitek-y-3470-usb30-to-gigabit-ethernet-converter
Lanberg NT-0804 Precision Screwdriver & Bits Set,No description available,Out of Stock,€20.90,,lanberg-nt-0804-precision-screwdriver-bits-set
SanDisk Extreme Micro SD 64 GB,"Memory Capacity: 64 GB
Video Speed: C10
Form Factor: microSD
Read Speed: up to 160MB/s",Out of Stock,€21.00,,sandisk-extreme-micro-sd-64-gb
Mousepad Thunderobot Gaming Master M1-450,"Size: 450 x 400 x 4 mm
Surface: High density microfiber cloth
Material: SCR rubber sole + High-density Fiber Cloth",Out of Stock,€21.00,,mousepad-thunderobot-gaming-master-m1-450
Unitek Y-C142M Premium Full Copper HDMI Cable 10.0m,"Premium HDMI1.4 cable
Connect between HDMI source to HDMI display
Support 4K resolution and 3D display
Gold-plated, 100% copper wire
With the protections against EMI, RFI and other interference
Applicable for all HDMI supported devices",Out of Stock,€21.00,,unitek-y-c142m-premium-full-copper-hdmi-cable-100m
Case FAN Cougar VORTEX MHP120,"FAN Size: 120 mm
Fan Speed 600-2000 RPM
Connectivity: 4-Pin PWM
Warranty: 1 Year",Out of Stock,€21.50,,case-fan-cougar-vortex-mhp120
